Name,Volume,Ask Size,Ask Price,Bid Size,Bid Price,Last Price,Shares Matched,Shares Routed
CEFS,8369,0,0.00,0,0.00,18.22,8369,0
PTMC,8315,0,0.00,0,0.00,31.81,8015,300
LQDI,8226,0,0.00,0,0.00,25.39,8226,0
MFUL,7880,0,0.00,0,0.00,21.67,7880,0
FMAY,7877,0,0.00,0,0.00,38.07,7877,0
ESML,7837,0,0.00,0,0.00,34.86,7837,0
TDV,7634,0,0.00,0,0.00,63.28,7434,200
TMFC,7378,0,0.00,0,0.00,39.04,7050,328
OMFS,7193,0,0.00,0,0.00,36.01,7193,0
JMUB,6989,0,0.00,0,0.00,49.97,6989,0
TAIL,6612,0,0.00,0,0.00,13.90,6612,0
SMOT,6608,0,0.00,0,0.00,28.94,6608,0
FLQM,6602,0,0.00,0,0.00,43.33,6602,0
FGRO,6424,0,0.00,0,0.00,16.27,6373,51
PJAN,6119,0,0.00,0,0.00,34.44,6119,0
DIHP,6107,0,0.00,0,0.00,24.28,6007,100
HYMU,6041,0,0.00,0,0.00,21.54,6041,0
FLQL,6012,0,0.00,0,0.00,43.24,6012,0
VIXM,5859,0,0.00,0,0.00,22.30,5859,0
JCPB,5712,0,0.00,0,0.00,46.58,5562,150
DDLS,5627,0,0.00,0,0.00,31.78,5098,529
PRNT,5493,0,0.00,0,0.00,22.80,5493,0
VSGX,5114,0,0.00,0,0.00,53.33,5114,0
SHYD,5035,0,0.00,0,0.00,22.12,5034,1
FAPR,5007,0,0.00,0,0.00,32.07,5007,0
IBHG,4975,0,0.00,0,0.00,21.71,4700,275
FLBL,4956,0,0.00,0,0.00,23.45,4956,0
GVAL,4790,0,0.00,0,0.00,20.57,4790,0
XBAP,4775,0,0.00,0,0.00,28.53,4775,0
JUCY,4433,0,0.00,0,0.00,24.74,4369,64
IZRL,4307,0,0.00,0,0.00,18.79,4307,0
GMAY,4281,0,0.00,0,0.00,30.67,4281,0
REGL,4236,0,0.00,0,0.00,70.60,4169,67
FJUN,4111,0,0.00,0,0.00,40.07,4111,0
EDEN,4073,0,0.00,0,0.00,105.42,4073,0
NUDM,4057,0,0.00,0,0.00,28.83,4057,0
NANC,4051,0,0.00,0,0.00,26.85,4051,0
DFIS,4022,0,0.00,0,0.00,23.01,4022,0
FYLD,4017,0,0.00,0,0.00,24.57,3727,290
NUMG,3995,0,0.00,0,0.00,37.44,3295,700
BUYZ,3867,0,0.00,0,0.00,25.01,3867,0
FBCV,3817,0,0.00,0,0.00,27.72,3817,0
SMMV,3809,0,0.00,0,0.00,34.30,3786,23
PSMG,3734,0,0.00,0,0.00,16.68,3734,0
QMAR,3656,0,0.00,0,0.00,23.55,3556,100
HEEM,3581,0,0.00,0,0.00,24.53,3581,0
JULZ,3574,0,0.00,0,0.00,34.50,3574,0
DISV,3436,0,0.00,0,0.00,23.94,3436,0
OUSA,3433,0,0.00,0,0.00,42.58,3433,0
TRTY,3325,0,0.00,0,0.00,24.66,3325,0
NUSC,3261,0,0.00,0,0.00,36.44,3261,0
IBHE,3174,0,0.00,0,0.00,22.78,3156,18
PMAR,3126,0,0.00,0,0.00,33.17,3126,0
MOTI,3084,0,0.00,0,0.00,31.55,3084,0
FPFD,3076,0,0.00,0,0.00,20.12,3076,0
EYLD,3047,0,0.00,0,0.00,29.05,2247,800
GSUS,3042,0,0.00,0,0.00,58.70,3042,0
NUEM,3013,0,0.00,0,0.00,27.50,3013,0
MEAR,2980,0,0.00,0,0.00,49.81,2980,0
UJUN,2964,0,0.00,0,0.00,28.18,2764,200
DFNV,2836,0,0.00,0,0.00,24.50,2836,0
TMFG,2799,0,0.00,0,0.00,25.78,2799,0
